,Site,Date(s),Designated,Location,Coordinates,Latitude,Longitude,Description,Type
55,Queenston Heights ,1812 (battle),1968,Niagara-on-the-Lake,"43.160147, -79.052234",43.160147,-79.052234,"A treed promontory on the Niagara Escarpment, where the British repulsed an American invasion in the Battle of Queenston Heights in the War of 1812; site of Brock's Monument and a monument to Laura Secord",PHistoric
56,Queenston-Chippawa Hydro-electric Plant ,1925 (completed),1990,Niagara-on-the-Lake,"43.1459639, -79.0454306",43.1459639,-79.0454306,"At the time of its completion, it was the first large-scale hydroelectric generation project in the world",PHistoric
57,R. Nathaniel Dett British Methodist Episcopal Church ,1836 (completed),1999,Niagara Falls,"43.087806, -79.0874861",43.087806,-79.0874861,A British Methodist Episcopal Church chapel named after and associated with the formative years of composer Robert Nathaniel Dett; representative of early black settlement in the Niagara area and the church's role in assisting Underground Railroad refugees,PHistoric
58,Ridgeway Battlefield ,1866 (battle),1921,Fort Erie,"42.904349, -79.0416",42.904349,-79.0416,"The site of the battlefield where the Queen۪s Own Rifles, 13th Hamilton Battalion, and Caledonia and York Rifle Companies of Haldimand defended Canada against Fenian raiders from the United States",PHistoric
59,"Salem Chapel, British Methodist Episcopal Church ",1855 (completed),1999,St. Catharines,"43.1651972, -79.24004",43.1651972,-79.24004,"A gable-fronted church representative of the auditory-hall design of Underground Railroad-related churches; an important centre of 19th-century abolitionist activity in Canada, associated with Harriet Tubman",PHistoric
60,Toronto Power Generating Station ,1913 (completed),1983,Niagara Falls,"43.0720694, -79.0738167",43.0720694,-79.0738167,"A generating station to supply hydro-electric power to Toronto, it was the first wholly Canadian-owned hydro-electric facility at Niagara Falls; an elegant and unusual application of Beaux-Arts design to an industrial site in Canada",PHistoric
61,Willowbank ,1836 (completed),2003,Niagara-on-the-Lake,"43.16773, -79.05796",43.16773,-79.05796,A 5-hectare (12-acre) estate with a large three-and-a-half storey temple-fronted mansion; the landscaping and largely unchanged exterior architecture are symbolic of the fusion of Neoclassical architecture and the Picturesque ideal that characterized large country estates of Upper Canada in the early 19th century,PHistoric
62,Vrooman's Battery ,1812 (battle),1921,Niagara-on-the-Lake,"43.1782667, -79.0583472",43.1782667,-79.0583472,An artillery battery that maintained a harassing fire on the American forces crossing the Niagara River during the Battle of Queenston Heights in the War of 1812; now consists of a mound on the riverbank,PHistoric
63,Aberdeen Pavilion ,1898 (completed),1983,Ottawa,"45.4000417, -75.6828222",45.4000417,-75.6828222,"The only large-scale exhibition building in Canada surviving from the 19th century, and also the oldest surviving venue in which the Stanley Cup was contested",PHistoric
64,Beechwood Cemetery ,1873 (established),2000,Ottawa,"45.4469, -75.6599",45.4469,-75.6599,"An exceptional example of 19th-century cemetery design, containing a concentration of mausolea, monuments, and markers of significant importance to the history of Canada, Ontario and Ottawa; the cemetery was declared the national cemetery of Canada in 2009. It has served as the national military cemetery since 1944 and the RCMP's national memorial cemetery since 2004.",PHistoric
65,Billings House ,1829 (completed),1968,Ottawa,"45.389832, -75.672235",45.389832,-75.672235,"One of Ottawa's oldest homes, this Georgian homestead was built by Braddish Billings, the first settler of Gloucester Township, where his home formed the nucleus of Ottawa's Billings Bridge area",PHistoric
66,Central Chambers ,1891 (completed),1990,Ottawa,"45.4232361, -75.6952639",45.4232361,-75.6952639,"A noted example of Queen Anne Revival commercial architecture, with a high profile location on Confederation Square",PHistoric
67,Central Experimental Farm ,1886 (established),1997,Ottawa,"45.382537, -75.713654",45.382537,-75.713654,A rare example of a farm within a city; the site of significant scientific contributions to agriculture,PHistoric
68,Ch̢teau Laurier ,1912 (completion of first wing),1980,Ottawa,"45.4255667, -75.6951083",45.4255667,-75.6951083,"One of Canada's landmark railway hotels, built in the distinctly Canadian Ch̢teau-style; dubbed the ""Third Chamber of Parliament"" due to its proximity to Parliament Hill",PHistoric
69,Confederation Square ,1939 (established),1984,Ottawa,"45.4240889, -75.695500",45.4240889,-75.6955,"The second most important ceremonial centre in Ottawa, after Parliament Hill, with Canada's National War Memorial at its centre and the Valiants Memorial at its periphery, and framed by the Ch̢teau Laurier, the Government Conference Centre, the National Arts Centre, the Central Chambers, the Scottish-Ontario Chambers, the Central Post Office, the Langevin Block and the East Block",PHistoric
70,Connaught Building ,1916 (completed),1990,Ottawa,"45.426562, -75.694669",45.426562,-75.694669,"A testament to Wilfrid Laurier۪s commitment to enhance the architecture in Canada's capital; one of the best works of David Ewart, the Chief Dominion Architect from 1896 to 1914",PHistoric
71,Diefenbunker / Central Emergency Government Headquarters ,1959 (completed),1994,Ottawa,"45.35167, -76.04722",45.35167,-76.04722,"An underground 4-storey bunker, capable of withstanding a near-hit from a nuclear explosion, built to shelter key Canadian political and military personnel in the event of a nuclear war, now a museum",PHistoric
72,Earnscliffe ,1857 (completed),1960,Ottawa,"45.437378, -75.698912",45.437378,-75.698912,"A house overlooking the Ottawa River, once the home to Canada's first Prime Minister, Sir John A. Macdonald, now the official residence of the British High Commissioner to Canada",PHistoric
73,Former Archives Building ,1906 (completed),1990,Ottawa,"45.43056, -75.6988583",45.43056,-75.6988583,"The home of the Public Archives of Canada from 1906 to 1967, and the Canadian War Museum from 1967 to 2005, this building was constructed as part of Prime Minister Sir Wilfrid Laurier۪s efforts to transform Ottawa from a lumber town into a capital city with requisite cultural and civic amenities and architecture",PHistoric
74,Former Geological Survey of Canada Building ,1863 (completion of the oldest part of the building),1955,Ottawa,"45.4265139, -75.6939333",45.4265139,-75.6939333,"Among the oldest government buildings in the capital, the building was the first Ottawa home of the Geological Survey of Canada; the building was also used to host the inaugural exhibit of the Canadian Academy of Arts in 1880 (the genesis of the collection of the National Gallery of Canada), and to display the Geological Survey's museum collections (which served as the foundation of the Canadian Museum of Nature)",PHistoric
75,Former Ottawa Teachers' College ,1875 (completed),1974,Ottawa,"45.4199917, -75.6909306",45.4199917,-75.6909306,"A nationally significant example of the Gothic Revival style in an eclectic design; the building served as a normal school until 1974, and now serves as a wing of Ottawa City Hall",PHistoric
76,Hart Massey House,1959 (completed),2018,Ottawa,"45.451356, -75.671683",45.451356,-75.671683,"Built in 1959, Hart Massey House is an iconic example of mid-20th century modernism in residential architecture, and an example of International style because of its sensitivity to its natural surroundings.",PHistoric
77,John R. Booth Residence ,1909 (completed),1990,Ottawa,"45.416762, -75.692480",45.416762,-75.69248,"Built for lumber baron John R. Booth, the house is a nationally significant example of the Queen Anne Revival style in domestic architecture",PHistoric
78,Langevin Block ,1889 (completed),1977,Ottawa,"45.4236750, -75.6970611",45.423675,-75.6970611,"One of the finest examples of Second Empire style office building architecture in Canada, the Langevin Block was the first purpose-built office building erected by the federal government outside the boundaries of Parliament Hill; currently serves as home to the Prime Minister's Office and the Privy Council Office",PHistoric
79,Laurier House ,1878 (completed),1956,Ottawa,"45.4277, -75.6781",45.4277,-75.6781,"As Canada did not have official residences for elected officials until 1950, this house was the home of Sir Wilfrid Laurier and then William Lyon Mackenzie King during the periods when each was leader of the Liberal Party of Canada; Laurier and King each served both as Prime Ministers and Leaders of the Opposition while living in this home",PHistoric
80,Maplelawn & Gardens ,1834 (completed),1989,Ottawa,"45.3882306, -75.7619500",45.3882306,-75.76195,A rare example of an early 19th-century country estate in Canada and an excellent example of the British classical style; the gardens are the best preserved of the few surviving examples of 19th-century walled gardens in Canada,PHistoric
81,National Arts Centre ,1969 (completed),2006,Ottawa,"45.4230, -75.6938",45.423,-75.6938,"Built to commemorate the Canadian Centennial and designed in the shape of hexagons, the centre heralded Canada's cultural and architectural achievements in the second half of the 20th century; also a component of the Confederation Square National Historic Site of Canada",PHistoric
82,Notre-Dame Roman Catholic Basilica ,1842-1897 (construction),1990,Ottawa,"45.42971, -75.69646",45.42971,-75.69646,"A Basilica prominently located on Sussex Drive, whose twin towers mark the entrance to Lower Town, one of Ottawa's earliest neighbourhoods; it is considered an exceptional example of Gothic Revival architecture in Canada",PHistoric
83,Parliament Buildings ,"1865 (West Block completed), 1866 (East Block), 1876 (Library of Parliament), 1920 (Centre Block)",1976,Ottawa,"45.4248, -75.6992",45.4248,-75.6992,The seat of the Parliament of Canada in a striking location on a hill above the Ottawa River; an important symbol serving as the physical embodiment of the Canadian government and federation,PHistoric
84,Public Grounds of the Parliament Buildings ,1875 (initial completion),1976,Ottawa,"45.424807, -75.699234",45.424807,-75.699234,"The focal point for national celebrations in Ottawa; the grounds were originally designed by Calvert Vaux, and since supplemented by 18 monuments and memorials",PHistoric
85,Rideau Canal ,1837 (completed),1925,Ottawa to Kingston,"45.42583, -75.69722",45.42583,-75.69722,"Built for the British government by Lieutenant-Colonel John By as a defensive work in the event of war with the United States, the still-functioning canal is the best preserved example of a 19th-century slack water canal in North America, with most of its original structures intact; a World Heritage Site and a unique historic landmark in the central core of Ottawa",PHistoric
86,Rideau Hall and Landscaped Grounds ,1838 (completion of original villa),1977,Ottawa,"45.4443694, -75.685972",45.4443694,-75.685972,The official Ottawa residence of the Governor General of Canada and the Canadian monarch; excellent example of the transposition of the natural style of the English country estate to Canada,PHistoric
87,Royal Canadian Mint ,1908 (completion of main building),1979,Ottawa ,"45.4311500, -75.6992667",45.43115,-75.6992667,"Representative of the federal government's approach to using the Tudor Gothic architectural style to create a distinctive identity in Canada's capital; the construction of this building, combining a mint and a refinery for gold produced by Canadian mines, symbolized the patriation of control over Canada's currency from Britain",PHistoric
88,Victoria Memorial Museum ,1911 (completed),1990,Ottawa ,"45.41266, -75.68875",45.41266,-75.68875,"Built to house Canada's first national museum, the building originally served as the home of the National Gallery of Canada and of the geological and natural history collections of the Geological Survey of Canada, and then served as the temporary premises of the Parliament of Canada from 1916 to 1922 when the original Centre Block was destroyed by fire; now the home of the Canadian Museum of Nature",PHistoric
89,Annesley Hall ,1903 (completed),1990,Toronto,"43.66778, -79.39306",43.66778,-79.39306,"The first purpose-built women's۪ residence on a Canadian university campus, and a good example of the Queen Anne Revival style in institutional architecture",PHistoric
90,Balmoral Fire Hall ,1911 (completed),1990,Toronto,"43.685833, -79.393870",43.685833,-79.39387,A rare example of the Queen Anne Revival style used for a fire hall,PHistoric
91,Bank of Upper Canada Building ,1825 (completed),1977,Toronto,"43.6518167, -79.370972",43.6518167,-79.370972,"An early 19th-century bank building, representative of the rise of Toronto as a commercial centre and the role played by the Bank of Upper Canada in the development of Upper Canada",PHistoric
92,Bead Hill,1600s (village established),"1991 (designated);June 15, 2019 (added to national park system)",Toronto,"43.8041028, -79.140111",43.8041028,-79.140111,An archaeological site in Rouge Park with the only known intact remains of a 17th-century Seneca village in the country,PHistoric
93,Birkbeck Building ,1908 (completed),1986,Toronto,"43.6507056, -79.3779139",43.6507056,-79.3779139,A four-storey office building typical of the premises of many financial institutions prevalent in central business districts of Canadian cities before the First World War; representative of a transitional building from that period which combined historical styles with (then) modern design and construction techniques,PHistoric
94,Eaton's 7th Floor Auditorium and Round Room ,1930 (completed),1983,Toronto,"43.660929, -79.383302",43.660929,-79.383302,"A foyer, restaurant and auditorium, designed by French architect Jacques Carlu and muralist Natacha Carlu, located within the former Eaton's College Street department store; remarkable examples of Art Deco and Streamline Moderne interior design",PHistoric
95,Chapel of St. James-the-Less Anglican Church ,1861 (completed),1990,Toronto,"43.669556, -79.3689778",43.669556,-79.3689778,The Chapel is a noted example of High Victorian Gothic Revival architecture and exemplifies the small chapels built in this style in Canada,PHistoric
96,Eglinton Theatre ,1936 (completed),1993,Toronto,"43.7044333, -79.4107389",43.7044333,-79.4107389,A cinema representing one of the best examples of the Art Deco-style in Canadian theatre design,PHistoric
97,Elgin and Winter Garden Theatres ,1914 (completed),1982,Toronto,"43.65306, -79.37917",43.65306,-79.37917,"A pair of stacked theatres built by renowned theatre-designer Thomas W. Lamb; originally built for vaudeville, they are the last remaining operational double-decker theatres in the world",PHistoric
98,Fort York ,"1793 (established), 1815 (current fort completed)",1923,Toronto,"43.6390278, -79.40333",43.6390278,-79.40333,"The birthplace of the settlement that would become Toronto and the primary defence for (what was then) York, Upper Canada, the Fort now serves as a museum containing the largest collection of War of 1812 buildings in Canada and many of the oldest buildings in Toronto",PHistoric
99,Fourth York Post Office ,1835 (completed),1980,Toronto,"43.6518472, -79.3706500",43.6518472,-79.37065,"Also known as the ""First Toronto Post Office"" (it was the fourth post office in York, but the first one to serve the settlement when it became Toronto in 1834), it is one of the earliest surviving examples in Canada of a building purpose-built as a post office; typical of small, early 19th-century public buildings, combining public offices and a private residence",PHistoric
100,George Brown House ,1877 (completed),1976,Toronto,"43.655825, -79.39502",43.655825,-79.39502,"The residence of George Brown, founder of (what is now) The Globe and Mail and a Father of Confederation; the site in Toronto most associated with the abolitionist movement and the Underground Railroad",PHistoric
101,Gooderham and Worts Distillery ,1859 to 1927 (construction of extant distillery buildings),1988,Toronto,"43.65073000, -79.3597694",43.65073,-79.3597694,"Forty historic distillery buildings on a 13-acre site, representative of the history of the Canadian distilling industry and Toronto's industrial past",PHistoric
102,Gouinlock Buildings / Early Exhibition Buildings ,1904 to 1912 (completed),1988,Toronto,"43.63278, -79.41611",43.63278,-79.41611,"Five buildings (the Fire Hall/Police Station, Government Building, Horticulture Building, Music Building and Press Building) on the grounds of the Canadian National Exhibition; the largest and finest group of early 20th century exhibition buildings in Canada",PHistoric
103,Heliconian Hall ,1876 (completed),2008,Toronto,"43.6719528, -79.39334",43.6719528,-79.39334,"Originally constructed as a church in Yorkville in the Carpenter Gothic style, the building has since 1923 served as a unique multidisciplinary arts club specifically for women",PHistoric
